movie_title,movie_release_year,keyword
Forrest Gump,1994,vietnam war
Forrest Gump,1994,based on book
Forrest Gump,1994,based on novel
Forrest Gump,1994,vietnam
Forrest Gump,1994,shrimp boat
Forrest Gump,1994,amazing
Forrest Gump,1994,incredible
The Shawshank Redemption,1994,prison
The Shawshank Redemption,1994,based on the works of stephen king
The Shawshank Redemption,1994,escape from prison
The Shawshank Redemption,1994,friendship between men
The Shawshank Redemption,1994,wrongful conviction
The Shawshank Redemption,1994,amazing
The Shawshank Redemption,1994,incredible
The Godfather,1972,mafia
The Godfather,1972,patriarch
The Godfather,1972,crime family
The Godfather,1972,organized crime
The Godfather,1972,rise to power
The Dark Knight,2008,dc comics
The Dark Knight,2008,psychopath
The Dark Knight,2008,moral dilemma
The Dark Knight,2008,superhero
The Dark Knight,2008,clown
The Godfather Part II,1974,revenge
The Godfather Part II,1974,1950s
The Godfather Part II,1974,corrupt politician
The Godfather Part II,1974,cuban revolution
The Godfather Part II,1974,lake tahoe nevada
12 Angry Men,1957,jury
12 Angry Men,1957,dialogue driven
12 Angry Men,1957,murder
12 Angry Men,1957,courtroom
12 Angry Men,1957,trial
Schindler's List,1993,holocaust
Schindler's List,1993,nazi
Schindler's List,1993,nazi concentration camp
Schindler's List,1993,jew
Schindler's List,1993,german
The Lord of the Rings: The Return of the King,2003,journey
The Lord of the Rings: The Return of the King,2003,orc
The Lord of the Rings: The Return of the King,2003,middle earth
The Lord of the Rings: The Return of the King,2003,hobbit
The Lord of the Rings: The Return of the King,2003,ring
Pulp Fiction,1994,nonlinear timeline
Pulp Fiction,1994,overdose
Pulp Fiction,1994,drug use
Pulp Fiction,1994,drug overdose
Pulp Fiction,1994,drug dealing
The Lord of the Rings: The Fellowship of the Ring,2001,quest
The Lord of the Rings: The Fellowship of the Ring,2001,elf
"The Good, the Bad and the Ugly",1966,shootout
"The Good, the Bad and the Ugly",1966,spaghetti western
"The Good, the Bad and the Ugly",1966,civil war
"The Good, the Bad and the Ugly",1966,third in trilogy
"The Good, the Bad and the Ugly",1966,man with no name
Spider-Man: Across the Spider-Verse,2023,marvel comics
Spider-Man: Across the Spider-Verse,2023,based on comic
Spider-Man: Across the Spider-Verse,2023,second part
